epoch,accuracy,chance_level,divergence_from_chance
1,0.3528066596472756,0.25,0.10280665964727559
50,0.2523690444853909,0.25,0.002369044485390881
100,0.2532903395630429,0.25,0.003290339563042921
150,0.2581600421163464,0.25,0.008160042116346411
200,0.2619768360094762,0.25,0.011976836009476188
250,0.26006843906291127,0.25,0.010068439062911272
300,0.26247038694393265,0.25,0.012470386943932654
350,0.25335614635430376,0.25,0.0033561463543037573
400,0.2619768360094762,0.25,0.011976836009476188
450,0.26388523295604105,0.25,0.01388523295604105
500,0.25957488812845486,0.25,0.009574888128454861
550,0.12922808633851013,0.25,-0.12077191366148987
600,0.1323703606212161,0.25,-0.1176296393787839
650,0.1323703606212161,0.25,-0.1176296393787839
700,0.130215188207423,0.25,-0.119784811792577
750,0.1280600157936299,0.25,-0.12193998420637009
800,0.1321235851539879,0.25,-0.1178764148460121
850,0.1323703606212161,0.25,-0.1176296393787839
900,0.12565806791260858,0.25,-0.12434193208739142
950,0.13046196367465124,0.25,-0.11953803632534876
1000,0.130215188207423,0.25,-0.119784811792577
